wallet,sRGKAmount,RGKAmount,warmupValue,MIMBONDvalue,MIMRGKBONDvalue,USDCvalue,OLDMIMBONDvalue,OLDMIMRGKBONDvalue,PrivatePresaleValue,PublicPresaleValue,total
0xaf27f56a7Ee6d992eC1E347093d83Dfd12848d6B,0,0,0,0.002088644,0,0,0,0,0,0,0.002088644
0x92A841337cEcf8a5CEe8B45E00208c652419075C,0,0,1.67915918,0.904316721,0,0,0,0,0,0,2.583475901
0x61dfEf70B152Bd17D6f2527320c382864487Ce90,46.118367175,0.000059415,3.608664142,0,0,0,0,0,0,8.719993616068678e-10,49.72709073287201
0x53680D1104E874D12b96459D6d9D4A9Da3C4643F,0,0,0,0,0,0,0,0,0,0,0
0x3B65C687DaE049e562d923FA4801A85F6a3B51fD,0,0,0,0,0,0,0,0,0,0,0
0x57356793365301b26bD8dA93a7249C92A2003b1D,158.978625056,0.000020862,0,0,0,0,0,0,0,0,158.978645918
0x06bFB12f55838481B41A3a16987B03901364614E,0,0,0,0,0,0,0,0,0,0,0
0xe34953d5A302453319e9f8F0a57c3B8d7Cff598F,163.662828835,0.000072124,0,0,0,0,0,0,0,0,163.662900959
0xd4943d5e9a2413Bc1e566F31B01d5a805f9d7d13,101.938879105,0,0.669974133,0,0,0,0,0,0,0,102.608853238
0x8b6ABaA76120A660e340eE486d8d9bCB7095b30D,1e-9,0,0,0,0,0,0,0,0,0,1e-9
0x216373F9c67725bA02E3148A0DD9186d6911006b,33.883155742,0.000014369,0,0,0,0,0,0,0,0,33.883170111
0x3fEE4360a890164f78c56675099480E38ca3A46f,0,0.000068394,14.466831854,0,0,0,0,0,0,0,14.466900248
0xA900F6A5875b85B74cb0Ad168A7AC88CFBD85AAf,3.48196247,0,0,0.142857142,1.190018295,0,0,0,0,0,4.814837907
0x1777bdDB26a2737c83562CFeA641eE6e532faAfd,597.580365854,0.000062434,0,0,0,0,0,0,0,0,597.580428288
0xFE800B20B6f448B5e43a8bbC0D2025102DDCf352,158.227185012,0.000009118,628.213844582,0,0,0,0,0,0,0,786.4410387119999
